Ute oppe	humidity	69	2015-03-03 13:26:59
Ute	temp	2.5	2015-03-03 13:46:03
Ute oppe	temp	4.6	2015-03-03 13:37:23
Ute oppe	humidity	67	2015-03-03 13:37:23
Ute	temp	2.4	2015-03-03 13:56:27
Ute oppe	temp	3.9	2015-03-03 13:47:47
Ute oppe	humidity	66	2015-03-03 13:47:47
Ute	temp	3.1	2015-03-03 14:06:51
Ute oppe	temp	3.6	2015-03-03 13:58:11
Ute oppe	humidity	68	2015-03-03 13:58:11
Ute	temp	3.1	2015-03-03 14:06:51
Ute oppe	temp	3.8	2015-03-03 14:08:35
Ute oppe	humidity	70	2015-03-03 14:08:35
Ute	temp	2.6	2015-03-03 14:17:15
Ute oppe	temp	3.6	2015-03-03 14:18:59
Ute oppe	humidity	70	2015-03-03 14:18:59
Ute	temp	2.1	2015-03-03 14:27:39
Ute oppe	temp	3.1	2015-03-03 14:29:23
Ute oppe	humidity	71	2015-03-03 14:29:23
Ute	temp	1.9	2015-03-03 14:38:03
Ute oppe	temp	2.8	2015-03-03 14:39:47
